"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Get courses multiple","LMS servece","Fri Feb 27 12:11:54 UTC 2026","passed","Fri Feb 27 12:11:54 UTC 2026","Get entity","Courses","",""
"","15","Get user me","LMS servece","Fri Feb 27 12:12:00 UTC 2026","passed","Fri Feb 27 12:12:00 UTC 2026","Get entity","Users","",""
"","28","Create course","LMS servece","Fri Feb 27 12:11:50 UTC 2026","passed","Fri Feb 27 12:11:50 UTC 2026","Create entity","Courses","",""
"","261","Create file with empty directory","LMS servece","Fri Feb 27 12:11:58 UTC 2026","passed","Fri Feb 27 12:11:58 UTC 2026","Validate entity","Files","",""
"","260","Create file with empty filename","LMS servece","Fri Feb 27 12:11:57 UTC 2026","passed","Fri Feb 27 12:11:57 UTC 2026","Validate entity","Files","",""
"","102","Create multiple courses","LMS servece","Fri Feb 27 12:11:51 UTC 2026","passed","Fri Feb 27 12:11:51 UTC 2026","Create entity","Courses","",""
"","17","Get exercises","LMS servece","Fri Feb 27 12:11:55 UTC 2026","passed","Fri Feb 27 12:11:55 UTC 2026","Get entities","Exercises","",""
"","21","Delete exercise","LMS servece","Fri Feb 27 12:11:56 UTC 2026","passed","Fri Feb 27 12:11:56 UTC 2026","Delete entity","Exercises","",""
"","19","Create exercise","LMS servece","Fri Feb 27 12:11:53 UTC 2026","passed","Fri Feb 27 12:11:53 UTC 2026","Create entity","Exercises","",""
"","40","Get courses multiple","LMS servece","Fri Feb 27 12:11:51 UTC 2026","passed","Fri Feb 27 12:11:51 UTC 2026","Get entity","Courses","",""
"","37","Update course","LMS servece","Fri Feb 27 12:11:49 UTC 2026","passed","Fri Feb 27 12:11:49 UTC 2026","Update entity","Courses","",""
"","15","Get exercise","LMS servece","Fri Feb 27 12:11:54 UTC 2026","passed","Fri Feb 27 12:11:54 UTC 2026","Get entity","Exercises","",""
"","13","Get file","LMS servece","Fri Feb 27 12:11:57 UTC 2026","passed","Fri Feb 27 12:11:57 UTC 2026","Get entity","Files","",""
"","555","Create user","LMS servece","Fri Feb 27 12:12:00 UTC 2026","passed","Fri Feb 27 12:12:00 UTC 2026","Create entity","Users","",""
"","547","Login with correct email and password","LMS servece","Fri Feb 27 12:11:48 UTC 2026","passed","Fri Feb 27 12:11:49 UTC 2026","Login","Authentication","",""
"","18","Get file with incorrect file id","LMS servece","Fri Feb 27 12:11:58 UTC 2026","passed","Fri Feb 27 12:11:58 UTC 2026","Validate entity","Files","",""
"","286","Create user","LMS servece","Fri Feb 27 12:12:00 UTC 2026","passed","Fri Feb 27 12:12:01 UTC 2026","Create entity","Users","",""
"","32","Delete file","LMS servece","Fri Feb 27 12:12:00 UTC 2026","passed","Fri Feb 27 12:12:00 UTC 2026","Delete entity","Files","",""
"","23","Create file","LMS servece","Fri Feb 27 12:11:56 UTC 2026","passed","Fri Feb 27 12:11:56 UTC 2026","Create entity","Files","",""
"","555","Create user","LMS servece","Fri Feb 27 12:12:00 UTC 2026","passed","Fri Feb 27 12:12:00 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS servece","Fri Feb 27 12:11:55 UTC 2026","passed","Fri Feb 27 12:11:55 UTC 2026","Update entity","Exercises","",""
"","27","Get courses multiple","LMS servece","Fri Feb 27 12:11:53 UTC 2026","passed","Fri Feb 27 12:11:53 UTC 2026","Get entity","Courses","",""
"","311","Get courses","LMS servece","Fri Feb 27 12:11:50 UTC 2026","passed","Fri Feb 27 12:11:50 UTC 2026","Get entity","Courses","",""
